time,strain
8.325195312500000000e-02,-5.714202836436126289e-19
8.349609375000000000e-02,-5.553144188943770915e-19
8.374023437500000000e-02,-5.531211192809490638e-19
8.398437500000000000e-02,-5.449455234091541570e-19
8.422851562500000000e-02,-5.548978228694977696e-19
8.447265625000000000e-02,-5.581627932371415304e-19
8.471679687500000000e-02,-5.279960438665357273e-19
8.496093750000000000e-02,-5.335050612843630585e-19
8.520507812500000000e-02,-5.459091804363256396e-19
8.544921875000000000e-02,-5.293446657649259829e-19
8.569335937500000000e-02,-5.239745997820386770e-19
8.593750000000000000e-02,-5.164145459031739231e-19
8.618164062500000000e-02,-5.195895278801619252e-19
8.642578125000000000e-02,-5.296941525253274401e-19
8.666992187500000000e-02,-5.016186897125607231e-19
8.691406250000000000e-02,-4.935082143326880391e-19
8.715820312500000000e-02,-5.147176736366439408e-19
8.740234375000000000e-02,-4.997823954658474318e-19
8.764648437500000000e-02,-4.893167641837966683e-19
8.789062500000000000e-02,-4.880622185771855653e-19
8.813476562500000000e-02,-4.813284661364048376e-19
8.837890625000000000e-02,-4.959193977524343437e-19
8.862304687500000000e-02,-4.786875462553848986e-19
8.886718750000000000e-02,-4.538450719611728364e-19
8.911132812500000000e-02,-4.755604546643977015e-19
8.935546875000000000e-02,-4.720435074259493717e-19
8.959960937500000000e-02,-4.513209232637946567e-19
8.984375000000000000e-02,-4.506290032626258903e-19
9.008789062500000000e-02,-4.427047154147227857e-19
9.033203125000000000e-02,-4.530241057159924988e-19
9.057617187500000000e-02,-4.490400927459076632e-19
9.082031250000000000e-02,-4.151895607861056549e-19
9.106445312500000000e-02,-4.291169139683542663e-19
9.130859375000000000e-02,-4.400864677555343077e-19
9.155273437500000000e-02,-4.124105252360668198e-19
9.179687500000000000e-02,-4.083867138353403834e-19
9.204101562500000000e-02,-4.037673509518242409e-19
9.228515625000000000e-02,-4.068907643483145542e-19
9.252929687500000000e-02,-4.150790007049603735e-19
9.277343750000000000e-02,-3.770481737723167887e-19
9.301757812500000000e-02,-3.745287489359960584e-19
9.326171875000000000e-02,-4.012899217049959189e-19
9.350585937500000000e-02,-3.740699698359285903e-19
9.375000000000000000e-02,-3.629882207448606015e-19
9.399414062500000000e-02,-3.665031928487296857e-19
9.423828125000000000e-02,-3.592083358658532342e-19
9.448242187500000000e-02,-3.710524866486943510e-19
9.472656250000000000e-02,-3.447554837670616082e-19
9.497070312500000000e-02,-3.236590105686614652e-19
9.521484375000000000e-02,-3.544181642425452446e-19
9.545898437500000000e-02,-3.398201120773662370e-19
9.570312500000000000e-02,-3.119356663686393636e-19
9.594726562500000000e-02,-3.204874980805044297e-19
9.619140625000000000e-02,-3.135171067912010915e-19
9.643554687500000000e-02,-3.191253742963653818e-19
9.667968750000000000e-02,-3.112347256256645390e-19
9.692382812500000000e-02,-2.752728813986315914e-19
9.716796875000000000e-02,-2.988536925897643925e-19
9.741210937500000000e-02,-3.057508891640450726e-19
9.765625000000000000e-02,-2.653903974766968405e-19
9.790039062500000000e-02,-2.712225286005635867e-19
9.814453125000000000e-02,-2.703879061491052997e-19
9.838867187500000000e-02,-2.646332360980686120e-19
9.863281250000000000e-02,-2.698473585732306135e-19
9.887695312500000000e-02,-2.328246501432251496e-19
9.912109375000000000e-02,-2.365984350882015036e-19
9.936523437500000000e-02,-2.636595817072830529e-19
9.960937500000000000e-02,-2.265606396135019695e-19
9.985351562500000000e-02,-2.137811706799847515e-19
1.000976562500000000e-01,-2.256550254164694483e-19
1.003417968750000000e-01,-2.154606032473260876e-19
1.005859375000000000e-01,-2.223746683419204040e-19
1.008300781250000000e-01,-1.971997569302212211e-19
1.010742187500000000e-01,-1.768150717075682443e-19
1.013183593750000000e-01,-2.124709961696888866e-19
1.015625000000000000e-01,-1.906425755437330647e-19
1.018066406250000000e-01,-1.582515166633350245e-19
1.020507812500000000e-01,-1.763568214592772999e-19
1.022949218750000000e-01,-1.698153426734908409e-19
1.025390625000000000e-01,-1.688989367949319120e-19
1.027832031250000000e-01,-1.567975086041478766e-19
1.030273437500000000e-01,-1.261652485285393209e-19
1.032714843750000000e-01,-1.540365750096873330e-19
1.035156250000000000e-01,-1.566382868950547090e-19
1.037597656250000000e-01,-1.117259893178522121e-19
1.040039062500000000e-01,-1.201359769432433153e-19
1.042480468750000000e-01,-1.290745255326003844e-19
1.044921875000000000e-01,-1.166105374981008718e-19
1.047363281250000000e-01,-1.123133871347511122e-19
1.049804687500000000e-01,-8.341715597135973216e-20
1.052246093750000000e-01,-9.135152946330267932e-20
1.054687500000000000e-01,-1.163936860656592568e-19
1.057128906250000000e-01,-7.180307425073409720e-20
1.059570312500000000e-01,-5.962624271954167475e-20
1.062011718750000000e-01,-8.548019451650295893e-20
1.064453125000000000e-01,-7.028892771345601471e-20
1.066894531250000000e-01,-6.446081932588585883e-20
1.069335937500000000e-01,-4.461993339300385261e-20
1.071777343750000000e-01,-3.468309239981312480e-20
1.074218750000000000e-01,-6.742086644371659940e-20
1.076660156250000000e-01,-3.695685151863099350e-20
1.079101562500000000e-01,-6.403446790385526730e-21
1.081542968750000000e-01,-3.212827761222098917e-20
1.083984375000000000e-01,-2.610728581484003199e-20
1.086425781250000000e-01,-1.634432610334537756e-20
1.088867187500000000e-01,-2.985817850872212239e-21
1.091308593750000000e-01,1.670281618622376250e-20
1.093750000000000000e-01,-1.220698894347878418e-20
1.096191406250000000e-01,-5.939259174464287596e-21
1.098632812500000000e-01,3.965820960024482316e-20
1.101074218750000000e-01,2.425488786695138596e-20
1.103515625000000000e-01,1.154211976738774825e-20
1.105957031250000000e-01,2.943461572424113660e-20
1.108398437500000000e-01,3.866680688770526347e-20
1.110839843750000000e-01,5.952463042762042094e-20
1.113281250000000000e-01,4.675790509013844394e-20
1.115722656250000000e-01,3.038151494422591865e-20
1.118164062500000000e-01,7.658437911771900141e-20
1.120605468750000000e-01,8.157073955426914986e-20
1.123046875000000000e-01,5.177266463526863482e-20
1.125488281250000000e-01,7.119473442864599529e-20
1.127929687500000000e-01,8.327057588538705675e-20
1.130371093750000000e-01,9.674119751798517492e-20
1.132812500000000000e-01,9.992453935894880619e-20
1.135253906250000000e-01,7.261352021135852123e-20
1.137695312500000000e-01,1.067604561811324951e-19
1.140136718750000000e-01,1.329511994453506986e-19
1.142578125000000000e-01,9.914075958694089658e-20
1.145019531250000000e-01,1.069216423545656317e-19
1.147460937500000000e-01,1.277099467791069414e-19
1.149902343750000000e-01,1.355967373941030730e-19
1.152343750000000000e-01,1.432075908548215559e-19
1.154785156250000000e-01,1.197721637160783147e-19
1.157226562500000000e-01,1.342712453148411701e-19
1.159667968750000000e-01,1.749384042520935603e-19
1.162109375000000000e-01,1.526649747837541310e-19
1.164550781250000000e-01,1.380792122720367672e-19
1.166992187500000000e-01,1.651070691174028792e-19
1.169433593750000000e-01,1.780169814740581518e-19
1.171875000000000000e-01,1.823711987418495736e-19
1.174316406250000000e-01,1.686073832270154772e-19
1.176757812500000000e-01,1.660302555140648426e-19
1.179199218750000000e-01,2.086873603221271144e-19
1.181640625000000000e-01,2.034355994774775059e-19
1.184082031250000000e-01,1.729510805286522841e-19
1.186523437500000000e-01,1.981701541075016769e-19
1.188964843750000000e-01,2.168738130444077727e-19
1.191406250000000000e-01,2.201565905081693179e-19
1.193847656250000000e-01,2.111422408888260585e-19
1.196289062500000000e-01,1.993277251089528134e-19
1.198730468750000000e-01,2.375709400431508894e-19
